# If this file contains data that relates to a time no more than 48 hours ago,
# BY USING IT YOU AGREE TO THE LEGALLY BINDING TERMS OF USE FOUND AT
#   https://storage.googleapis.com/weathernext-public/terms-of-use.pdf
# Any data that relates to a time more than 48 hours ago is licensed under the
# Creative Commons Attribution International License, Version 4.0 (CC BY 4.0).
# BEGIN DATA
AL, 06, 2026092012, 03, WNV3,   0, 340N,  331W,  45, 1004, XX,  34, NEQ,   40,   40,     ,     ,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 126, 171N, 1092W, 119,  945, XX,  50, NEQ,   47,   38,   35,   44,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 126, 171N, 1092W, 119,  945, XX,  64, NEQ,   30,   24,   20,   26,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 132, 173N, 1100W, 118,  946, XX,  34, NEQ,   91,   84,   75,   84,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 132, 173N, 1100W, 118,  946, XX,  50, NEQ,   47,   41,   37,   44,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 132, 173N, 1100W, 118,  946, XX,  64, NEQ,   29,   24,   21,   26,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 138, 174N, 1108W, 111,  949, XX,  34, NEQ,   89,   85,   76,   86,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 138, 174N, 1108W, 111,  949, XX,  50, NEQ,   46,   40,   37,   43,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 138, 174N, 1108W, 111,  949, XX,  64, NEQ,   28,   23,   20,   25,     ,     ,  12,
EP, 99, 2026092012, 03, WNV3, 144, 178N, 1116W, 110,  950, XX,  34, NEQ,   90,   87,   78,   83,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 144, 178N, 1116W, 110,  950, XX,  50, NEQ,   49,   43,   37,   43,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 144, 178N, 1116W, 110,  950, XX,  64, NEQ,   29,   25,   20,   25,     ,     ,  13,
EP, 99, 2026092012, 03, WNV3, 150, 182N, 1123W, 109,  952, XX,  34, NEQ,   92,   92,   78,   84,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3, 150, 182N, 1123W, 109,  952, XX,  50, NEQ,   49,   43,   37,   43,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3, 150, 182N, 1123W, 109,  952, XX,  64, NEQ,   30,   26,   21,   26,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3, 156, 188N, 1129W, 107,  952, XX,  34, NEQ,   95,   98,   74,   81,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3, 156, 188N, 1129W, 107,  952, XX,  50, NEQ,   49,   45,   35,   41,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3, 156, 188N, 1129W, 107,  952, XX,  64, NEQ,   29,   25,   20,   25,     ,     ,  14,
EP, 99, 2026092012, 03, WNV3, 162, 194N, 1134W, 102,  957, XX,  34, NEQ,   95,  103,   81,   79,     ,     ,  16,
EP, 99, 2026092012, 03, WNV3, 162, 194N, 1134W, 102,  957, XX,  50, NEQ,   48,   46,   36,   39,     ,     ,  16,
EP, 99, 2026092012, 03, WNV3, 162, 194N, 1134W, 102,  957, XX,  64, NEQ,   27,   24,   19,   23,     ,     ,  16,
EP, 99, 2026092012, 03, WNV3, 168, 199N, 1140W, 100,  958, XX,  34, NEQ,  100,  104,   84,   88,     ,     ,  15,
EP, 99, 2026092012, 03, WNV3, 168, 199N, 1140W, 100,  958, XX,  50, NEQ,   52,   49,   39,   44,     ,     ,  15,
EP, 99, 2026092012, 03, WNV3, 168, 199N, 1140W, 100,  958, XX,  64, NEQ,   31,   27,   22,   26,     ,     ,  15,
EP, 99, 2026092012, 03, WNV3, 174, 204N, 1143W,  94,  963, XX,  34, NEQ,   97,  102,   82,   80,     ,     ,  17,
EP, 99, 2026092012, 03, WNV3, 174, 204N, 1143W,  94,  963, XX,  50, NEQ,   50,   48,   38,   41,     ,     ,  17,
EP, 99, 2026092012, 03, WNV3, 174, 204N, 1143W,  94,  963, XX,  64, NEQ,   29,   26,   21,   24,     ,     ,  17,
EP, 99, 2026092012, 03, WNV3, 180, 209N, 1146W,  88,  966, XX,  34, NEQ,  105,  108,   82,   86,     ,     ,  17,
EP, 99, 2026092012, 03, WNV3, 180, 209N, 1146W,  88,  966, XX,  50, NEQ,   50,   49,   38,   41,     ,     ,  17,
EP, 99, 2026092012, 03, WNV3, 180, 209N, 1146W,  88,  966, XX,  64, NEQ,   27,   25,   19,   22,     ,     ,  17,
EP, 99, 2026092012, 03, WNV3, 186, 213N, 1148W,  82,  971, XX,  34, NEQ,   98,  102,   83,   85,     ,     ,  18,
EP, 99, 2026092012, 03, WNV3, 186, 213N, 1148W,  82,  971, XX,  50, NEQ,   45,   43,   35,   39,     ,     ,  18,
EP, 99, 2026092012, 03, WNV3, 186, 213N, 1148W,  82,  971, XX,  64, NEQ,   23,   21,   17,   20,     ,     ,  18,
EP, 99, 2026092012, 03, WNV3, 192, 218N, 1147W,  75,  974, XX,  34, NEQ,   92,   98,   78,   79,     ,     ,  21,
EP, 99, 2026092012, 03, WNV3, 192, 218N, 1147W,  75,  974, XX,  50, NEQ,   41,   39,   33,   34,     ,     ,  21,
EP, 99, 2026092012, 03, WNV3, 192, 218N, 1147W,  75,  974, XX,  64, NEQ,   20,   18,   15,   16,     ,     ,  21,
EP, 99, 2026092012, 03, WNV3, 198, 215N, 1153W,  73,  977, XX,  34, NEQ,   91,   89,   77,   82,     ,     ,  23,
EP, 99, 2026092012, 03, WNV3, 198, 215N, 1153W,  73,  977, XX,  50, NEQ,   40,   37,   31,   35,     ,     ,  23,
EP, 99, 2026092012, 03, WNV3, 198, 215N, 1153W,  73,  977, XX,  64, NEQ,   21,   19,   15,   17,     ,     ,  23,
EP, 99, 2026092012, 03, WNV3, 204, 211N, 1159W,  68,  979, XX,  34, NEQ,   86,   81,   67,   77,     ,     ,  24,
EP, 99, 2026092012, 03, WNV3, 204, 211N, 1159W,  68,  979, XX,  50, NEQ,   39,   36,   28,   32,     ,     ,  24,
EP, 99, 2026092012, 03, WNV3, 204, 211N, 1159W,  68,  979, XX,  64, NEQ,   19,   15,   12,   14,     ,     ,  24,
EP, 99, 2026092012, 03, WNV3, 210, 212N, 1162W,  65,  981, XX,  34, NEQ,   88,   85,   68,   74,     ,     ,  27,
EP, 99, 2026092012, 03, WNV3, 210, 212N, 1162W,  65,  981, XX,  50, NEQ,   38,   34,   27,   31,     ,     ,  27,
EP, 99, 2026092012, 03, WNV3, 210, 212N, 1162W,  65,  981, XX,  64, NEQ,   17,   13,   11,   12,     ,     ,  27,
EP, 99, 2026092012, 03, WNV3, 216, 215N, 1163W,  60,  984, XX,  34, NEQ,   82,   79,   61,   69,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 216, 215N, 1163W,  60,  984, XX,  50, NEQ,   33,   31,   23,   27,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 216, 215N, 1163W,  60,  984, XX,  64, NEQ,   15,   11,    9,   10,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 222, 216N, 1166W,  60,  985, XX,  34, NEQ,   81,   79,   59,   68,     ,     ,  35,
EP, 99, 2026092012, 03, WNV3, 222, 216N, 1166W,  60,  985, XX,  50, NEQ,   31,   28,   22,   26,     ,     ,  35,
EP, 99, 2026092012, 03, WNV3, 222, 216N, 1166W,  60,  985, XX,  64, NEQ,   13,   11,    9,   10,     ,     ,  35,
EP, 99, 2026092012, 03, WNV3, 228, 220N, 1169W,  54,  987, XX,  34, NEQ,   77,   70,   55,   63,     ,     ,  34,
EP, 99, 2026092012, 03, WNV3, 228, 220N, 1169W,  54,  987, XX,  50, NEQ,   31,   27,   20,   24,     ,     ,  34,
EP, 99, 2026092012, 03, WNV3, 228, 220N, 1169W,  54,  987, XX,  64, NEQ,   10,    9,    7,    8,     ,     ,  34,
EP, 99, 2026092012, 03, WNV3, 234, 219N, 1176W,  54,  988, XX,  34, NEQ,   85,   78,   62,   71,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 234, 219N, 1176W,  54,  988, XX,  50, NEQ,   28,   24,   18,   21,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 234, 219N, 1176W,  54,  988, XX,  64, NEQ,    9,    8,    6,    6,     ,     ,  30,
EP, 99, 2026092012, 03, WNV3, 240, 224N, 1179W,  49,  991, XX,  34, NEQ,   79,   71,   55,   61,     ,     ,  32,
EP, 99, 2026092012, 03, WNV3, 240, 224N, 1179W,  49,  991, XX,  50, NEQ,   23,   21,   15,   18,     ,     ,  32,
EP, 99, 2026092012, 03, WNV3, 240, 224N, 1179W,  49,  991, XX,  64, NEQ,    6,    5,    4,    4,     ,     ,  32,
EP, 99, 2026092012, 03, WNV3, 246, 228N, 1184W,  46,  993, XX,  34, NEQ,   59,   57,   44,   48,     ,     ,  38,
EP, 99, 2026092012, 03, WNV3, 246, 228N, 1184W,  46,  993, XX,  50, NEQ,   19,   16,   12,   14,     ,     ,  38,
EP, 99, 2026092012, 03, WNV3, 246, 228N, 1184W,  46,  993, XX,  64, NEQ,    5,    4,    3,    4,     ,     ,  38,
EP, 99, 2026092012, 03, WNV3, 252, 222N, 1193W,  46,  993, XX,  34, NEQ,   61,   59,   43,   49,     ,     ,  33,
EP, 99, 2026092012, 03, WNV3, 252, 222N, 1193W,  46,  993, XX,  50, NEQ,   21,   18,   13,   15,     ,     ,  33,
EP, 99, 2026092012, 03, WNV3, 252, 222N, 1193W,  46,  993, XX,  64, NEQ,    4,    3,    2,    3,     ,     ,  33,
EP, 99, 2026092012, 03, WNV3, 258, 225N, 1195W,  44,  995, XX,  34, NEQ,   52,   46,   40,   45,     ,     ,  35,
EP, 99, 2026092012, 03, WNV3, 258, 225N, 1195W,  44,  995, XX,  50, NEQ,   14,   11,    9,   11,     ,     ,  35,
EP, 99, 2026092012, 03, WNV3, 258, 225N, 1195W,  44,  995, XX,  64, NEQ,    3,    2,    2,    2,     ,     ,  35,
EP, 99, 2026092012, 03, WNV3, 264, 227N, 1198W,  40,  997, XX,  34, NEQ,   46,   44,   35,   40,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 264, 227N, 1198W,  40,  997, XX,  50, NEQ,   11,    8,    6,    8,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 264, 227N, 1198W,  40,  997, XX,  64, NEQ,    2,    2,    1,    1,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 270, 222N, 1200W,  38,  998, XX,  34, NEQ,   41,   37,   32,   36,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 270, 222N, 1200W,  38,  998, XX,  50, NEQ,   12,   10,    7,    9,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 276, 223N, 1206W,  36,  998, XX,  34, NEQ,   39,   38,   29,   35,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 276, 223N, 1206W,  36,  998, XX,  50, NEQ,    5,    5,    3,    3,     ,     ,  40,
EP, 99, 2026092012, 03, WNV3, 282, 225N, 1209W,  37,  999, XX,  34, NEQ,   35,   33,   29,   33,     ,     ,  39,
EP, 99, 2026092012, 03, WNV3, 282, 225N, 1209W,  37,  999, XX,  50, NEQ,    8,    9,    6,    6,     ,     ,  39,
EP, 99, 2026092012, 03, WNV3, 282, 225N, 1209W,  37,  999, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  39,
EP, 99, 2026092012, 03, WNV3, 288, 227N, 1212W,  34, 1001, XX,  34, NEQ,   32,   27,   20,   28,     ,     ,  43,
EP, 99, 2026092012, 03, WNV3, 288, 227N, 1212W,  34, 1001, XX,  50, NEQ,    6,    2,    1,    2,     ,     ,  43,
EP, 99, 2026092012, 03, WNV3, 294, 218N, 1220W,  34, 1000, XX,  34, NEQ,   24,   18,   14,   19,     ,     ,  45,
EP, 99, 2026092012, 03, WNV3, 294, 218N, 1220W,  34, 1000, XX,  50, NEQ,    5,    3,    2,    3,     ,     ,  45,
EP, 99, 2026092012, 03, WNV3, 294, 218N, 1220W,  34, 1000, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  45,
EP, 99, 2026092012, 03, WNV3, 300, 221N, 1222W,  33, 1001, XX,  34, NEQ,   20,   14,   10,   16,     ,     ,  47,
EP, 99, 2026092012, 03, WNV3, 300, 221N, 1222W,  33, 1001, XX,  50, NEQ,    3,    3,    2,    3,     ,     ,  47,
EP, 99, 2026092012, 03, WNV3, 300, 221N, 1222W,  33, 1001, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  47,
EP, 99, 2026092012, 03, WNV3, 306, 221N, 1227W,  32, 1002, XX,  34, NEQ,   16,   13,   10,   14,     ,     ,  48,
EP, 99, 2026092012, 03, WNV3, 306, 221N, 1227W,  32, 1002, XX,  50, NEQ,    2,    1,    1,    1,     ,     ,  48,
EP, 99, 2026092012, 03, WNV3, 306, 221N, 1227W,  32, 1002, XX,  64, NEQ,    1,    1,    1,    1,     ,     ,  48,
EP, 99, 2026092012, 03, WNV3, 312, 221N, 1231W,  32, 1002, XX,  34, NEQ,   16,   11,    8,   14,     ,     ,  49,
EP, 99, 2026092012, 03, WNV3, 312, 221N, 1231W,  32, 1002, XX,  50, NEQ,    1,    1,    1,    1,     ,     ,  49,
EP, 99, 2026092012, 03, WNV3, 312, 221N, 1231W,  32, 1002, XX,  64, NEQ,    1,    0,    0,    0,     ,     ,  49,
WP, 24, 2026092012, 03, WNV3,   0, 304N, 1376E,  60,  978, XX,  34, NEQ,  200,  140,  140,  230,     ,     ,  35,
WP, 24, 2026092012, 03, WNV3,   6, 314N, 1378E,  69,  968, XX,  34, NEQ,  193,  189,  150,  158,     ,     ,  24,
WP, 24, 2026092012, 03, WNV3,   6, 314N, 1378E,  69,  968, XX,  50, NEQ,  108,  106,   84,   87,     ,     ,  24,
WP, 24, 2026092012, 03, WNV3,   6, 314N, 1378E,  69,  968, XX,  64, NEQ,   29,   28,   22,   23,     ,     ,  24,
WP, 24, 2026092012, 03, WNV3,  12, 324N, 1385E,  66,  971, XX,  34, NEQ,  181,  174,  140,  152,     ,     ,  28,
WP, 24, 2026092012, 03, WNV3,  12, 324N, 1385E,  66,  971, XX,  50, NEQ,   97,   95,   76,   80,     ,     ,  28,
WP, 24, 2026092012, 03, WNV3,  12, 324N, 1385E,  66,  971, XX,  64, NEQ,   23,   22,   17,   18,     ,     ,  28,
WP, 24, 2026092012, 03, WNV3,  18, 336N, 1396E,  64,  972, XX,  34, NEQ,  172,  174,  141,  141,     ,     ,  25,
WP, 24, 2026092012, 03, WNV3,  18, 336N, 1396E,  64,  972, XX,  50, NEQ,   90,   91,   73,   73,     ,     ,  25,
WP, 24, 2026092012, 03, WNV3,  18, 336N, 1396E,  64,  972, XX,  64, NEQ,   16,   17,   13,   13,     ,     ,  25,
WP, 24, 2026092012, 03, WNV3,  24, 348N, 1414E,  66,  972, XX,  34, NEQ,  159,  174,  148,  129,     ,     ,  24,
WP, 24, 2026092012, 03, WNV3,  24, 348N, 1414E,  66,  972, XX,  50, NEQ,   87,   96,   77,   68,     ,     ,  24,
WP, 24, 2026092012, 03, WNV3,  24, 348N, 1414E,  66,  972, XX,  64, NEQ,   20,   22,   18,   16,     ,     ,  24,
WP, 24, 2026092012, 03, WNV3,  30, 363N, 1438E,  65,  973, XX,  34, NEQ,  149,  187,  157,  114,     ,     ,  28,
WP, 24, 2026092012, 03, WNV3,  30, 363N, 1438E,  65,  973, XX,  50, NEQ,   85,  101,   81,   65,     ,     ,  28,
WP, 24, 2026092012, 03, WNV3,  30, 363N, 1438E,  65,  973, XX,  64, NEQ,   19,   25,   18,   15,     ,     ,  28,
WP, 24, 2026092012, 03, WNV3,  36, 377N, 1468E,  58,  976, XX,  34, NEQ,  151,  193,  164,  109,     ,     ,  38,
WP, 24, 2026092012, 03, WNV3,  36, 377N, 1468E,  58,  976, XX,  50, NEQ,   78,   97,   75,   58,     ,     ,  38,
WP, 24, 2026092012, 03, WNV3,  36, 377N, 1468E,  58,  976, XX,  64, NEQ,    5,    6,    5,    4,     ,     ,  38,
WP, 24, 2026092012, 03, WNV3,  42, 389N, 1500E,  56,  978, XX,  34, NEQ,  140,  185,  151,  102,     ,     ,  47,
WP, 24, 2026092012, 03, WNV3,  42, 389N, 1500E,  56,  978, XX,  50, NEQ,   59,   73,   55,   42,     ,     ,  47,
WP, 24, 2026092012, 03, WNV3,  42, 389N, 1500E,  56,  978, XX,  64, NEQ,    1,    2,    3,    1,     ,     ,  47,
WP, 24, 2026092012, 03, WNV3,  48, 397N, 1532E,  52,  983, XX,  34, NEQ,  143,  185,  145,  112,     ,     ,  57,
WP, 24, 2026092012, 03, WNV3,  48, 397N, 1532E,  52,  983, XX,  50, NEQ,   29,   47,   27,   22,     ,     ,  57,
WP, 24, 2026092012, 03, WNV3,  54, 405N, 1567E,  48,  986, XX,  34, NEQ,  137,  185,  140,  105,     ,     ,  67,
WP, 24, 2026092012, 03, WNV3,  54, 405N, 1567E,  48,  986, XX,  50, NEQ,    7,   17,    6,    4,     ,     ,  67,
WP, 24, 2026092012, 03, WNV3,  60, 412N, 1607E,  45,  989, XX,  34, NEQ,  122,  173,  132,   94,     ,     ,  80,
WP, 24, 2026092012, 03, WNV3,  60, 412N, 1607E,  45,  989, XX,  50, NEQ,    4,    5,    2,    5,     ,     ,  80,
WP, 24, 2026092012, 03, WNV3,  66, 421N, 1650E,  43,  989, XX,  34, NEQ,  144,  194,  154,  113,     ,     ,  87,
WP, 24, 2026092012, 03, WNV3,  66, 421N, 1650E,  43,  989, XX,  50, NEQ,    5,    5,    3,    3,     ,     ,  87,
WP, 24, 2026092012, 03, WNV3,  72, 431N, 1697E,  41,  989, XX,  34, NEQ,  108,  161,  121,   85,     ,     ,  84,
WP, 24, 2026092012, 03, WNV3,  72, 431N, 1697E,  41,  989, XX,  50, NEQ,    3,    0,    0,    0,     ,     ,  84,
WP, 24, 2026092012, 03, WNV3,  78, 438N, 1743E,  43,  991, XX,  34, NEQ,   98,  148,  112,   75,     ,     ,  79,
WP, 24, 2026092012, 03, WNV3,  78, 438N, 1743E,  43,  991, XX,  50, NEQ,    3,   13,    5,    3,     ,     ,  79,
WP, 24, 2026092012, 03, WNV3,  84, 435N, 1776E,  40,  991, XX,  34, NEQ,   78,  122,   98,   59,     ,     ,  74,
WP, 24, 2026092012, 03, WNV3,  84, 435N, 1776E,  40,  991, XX,  50, NEQ,    0,    3,    0,    0,     ,     ,  74,
WP, 24, 2026092012, 03, WNV3,  90, 431N, 1792W,  38,  995, XX,  34, NEQ,   29,   70,   47,   22,     ,     ,  65,
WP, 24, 2026092012, 03, WNV3,  90, 431N, 1792W,  38,  995, XX,  50, NEQ,    0,    4,    0,    0,     ,     ,  65,
